  200   19900
    1       2      49
    1       3      11
    1       4      50
    1       5      39
    1       6      22
    1       7      21
    1       8      15
    1       9      16
    1      10      41
    1      11      30
    1      12       4
    1      13      43
    1      14      20
    1      15      11
    1      16      48
    1      17      17
    1      18      33
    1      19      23
    1      20      45
    1      21      20
    1      22      45
    1      23      30
    1      24       1
    1      25      49
    1      26      39
    1      27      43
    1      28       5
    1      29      14
    1      30      21
    1      31      34
    1      32      23
    1      33      41
    1      34       1
    1      35      29
    1      36      42
    1      37      35
    1      38      19
    1      39      48
    1      40      45
    1      41       9
    1      42      33
    1      43      47
    1      44      29
    1      45      42
    1      46       7
    1      47       3
    1      48      47
    1      49      18
    1      50      38
    1      51      14
    1      52      47
    1      53      47
    1      54      23
    1      55      22
    1      56      22
    1      57      49
    1      58      24
    1      59      12
    1      60      15
    1      61      25
    1      62      20
    1      63      26
    1      64      36
    1      65      31
    1      66      35
    1      67      22
    1      68       4
    1      69       2
    1      70      35
    1      71      46
    1      72      19
    1      73      47
    1      74      27
    1      75      16
    1      76      41
    1      77      38
    1      78       2
    1      79      24
    1      80       5
    1      81      45
    1      82       9
    1      83      34
    1      84      40
    1      85       5
    1      86      33
    1      87      13
    1      88      37
    1      89      24
    1      90      47
    1      91      24
    1      92       7
    1      93      17
    1      94      11
    1      95      30
    1      96      28
    1      97       2
    1      98       4
    1      99      22
    1     100      44
    1     101      47
    1     102      49
    1     103      19
    1     104       8
    1     105      38
    1     106      48
    1     107      45
    1     108      27
    1     109      19
    1     110      48
    1     111      16
    1     112      26
    1     113      35
    1     114       1
    1     115      33
    1     116      25
    1     117      30
    1     118      13
    1     119      39
    1     120      33
    1     121      23
    1     122       7
    1     123      21
    1     124      35
    1     125      26
    1     126      34
    1     127      14
    1     128      25
    1     129       9
    1     130       3
    1     131       4
    1     132      22
    1     133      37
    1     134      18
    1     135      16
    1     136      28
    1     137      35
    1     138      22
    1     139      41
    1     140      27
    1     141      50
    1     142       5
    1     143      37
    1     144      18
    1     145      37
    1     146      41
    1     147      39
    1     148      27
    1     149      22
    1     150      25
    1     151      35
    1     152       8
    1     153      31
    1     154      20
    1     155      39
    1     156      22
    1     157      25
    1     158       8
    1     159      30
    1     160      13
    1     161      35
    1     162       4
    1     163       1
    1     164      44
    1     165      22
    1     166      45
    1     167      10
    1     168      40
    1     169       4
    1     170      37
    1     171      17
    1     172      50
    1     173       9
    1     174      25
    1     175      15
    1     176      15
    1     177      25
    1     178      34
    1     179      29
    1     180      25
    1     181      31
    1     182      25
    1     183      40
    1     184      50
    1     185      29
    1     186      40
    1     187       7
    1     188      46
    1     189       5
    1     190      44
    1     191      39
    1     192      34
    1     193       4
    1     194      27
    1     195      20
    1     196       2
    1     197      34
    1     198      12
    1     199      26
    1     200      31
    2       3      44
    2       4      14
    2       5      32
    2       6      27
    2       7      42
    2       8      27
    2       9      46
    2      10      21
    2      11      17
    2      12       6
    2      13      45
    2      14      12
    2      15      35
    2      16      50
    2      17      20
    2      18      21
    2      19      34
    2      20      31
    2      21      42
    2      22       6
    2      23      29
    2      24      22
    2      25      26
