   20     190
    1       2      26
    1       3       7
    1       4       3
    1       5      29
    1       6      16
    1       7       9
    1       8       7
    1       9      22
    1      10      32
    1      11       7
    1      12      24
    1      13       5
    1      14       7
    1      15       4
    1      16      23
    1      17      14
    1      18      21
    1      19      32
    1      20      12
    2       3      14
    2       4       9
    2       5      27
    2       6      39
    2       7      24
    2       8      28
    2       9      23
    2      10      23
    2      11      29
    2      12      28
    2      13      34
    2      14      14
    2      15      27
    2      16      10
    2      17      27
    2      18       8
    2      19      30
    2      20       8
    3       4      27
    3       5      40
    3       6      33
    3       7       3
    3       8      15
    3       9      31
    3      10      28
    3      11       9
    3      12      40
    3      13      35
    3      14      19
    3      15      19
    3      16      16
    3      17      28
    3      18      16
    3      19      14
    3      20      10
    4       5       3
    4       6      10
    4       7       4
    4       8      35
    4       9      29
    4      10       6
    4      11      36
    4      12       2
    4      13      15
    4      14      10
    4      15      22
    4      16      18
    4      17      28
    4      18      39
    4      19      38
    4      20       1
    5       6      27
    5       7      25
    5       8      36
    5       9      13
    5      10      30
    5      11      14
    5      12       3
    5      13      18
    5      14      20
    5      15      11
    5      16      16
    5      17       8
    5      18      36
    5      19      34
    5      20       3
    6       7      18
    6       8      38
    6       9      37
    6      10       1
    6      11      12
    6      12      28
    6      13       5
    6      14      35
    6      15      39
    6      16      39
    6      17       7
    6      18      21
    6      19      38
    6      20      39
    7       8      22
    7       9      21
    7      10       5
    7      11      30
    7      12      34
    7      13      39
    7      14      18
    7      15      25
    7      16      27
    7      17      23
    7      18      30
    7      19      37
    7      20      26
    8       9       4
    8      10      28
    8      11      13
    8      12      40
    8      13      16
    8      14       7
    8      15      23
    8      16       5
    8      17      36
    8      18       2
    8      19      16
    8      20       8
    9      10       3
    9      11      34
    9      12      36
    9      13      12
    9      14      34
    9      15      11
    9      16      24
    9      17      36
    9      18       7
    9      19      16
    9      20       2
   10      11      16
   10      12      20
   10      13      30
   10      14      30
   10      15      10
   10      16      14
   10      17      33
   10      18      34
   10      19      18
   10      20      26
   11      12      30
   11      13       4
   11      14      26
   11      15      30
   11      16      24
   11      17       9
   11      18      31
   11      19      15
   11      20      20
   12      13      11
   12      14      21
   12      15      37
   12      16      37
   12      17      21
   12      18      19
   12      19      27
   12      20      33
   13      14      24
   13      15       4
   13      16      37
   13      17      31
   13      18      11
   13      19      15
   13      20      18
   14      15       5
   14      16      26
   14      17      13
   14      18      14
   14      19      34
   14      20       4
   15      16       8
   15      17      24
   15      18       8
   15      19       2
   15      20      30
   16      17       6
   16      18      22
   16      19      33
   16      20       6
   17      18      11
   17      19      21
   17      20      30
   18      19      24
   18      20      40
   19      20      15
