   10      45
    1       2      13
    1       3      13
    1       4       6
    1       5      16
    1       6       8
    1       7      10
    1       8      27
    1       9       9
    1      10       3
    2       3      21
    2       4      19
    2       5      23
    2       6       6
    2       7      11
    2       8       6
    2       9      15
    2      10      23
    3       4      12
    3       5      10
    3       6      14
    3       7      16
    3       8      22
    3       9      30
    3      10      18
    4       5      10
    4       6      10
    4       7       8
    4       8       1
    4       9      18
    4      10       5
    5       6      20
    5       7      26
    5       8      21
    5       9       9
    5      10      25
    6       7      29
    6       8      22
    6       9      14
    6      10      14
    7       8      23
    7       9       8
    7      10      13
    8       9      19
    8      10      15
    9      10      23
