   80    3160
    1       2      19
    1       3      36
    1       4      87
    1       5     165
    1       6      59
    1       7     114
    1       8      49
    1       9     115
    1      10      40
    1      11       6
    1      12     159
    1      13     180
    1      14      91
    1      15      75
    1      16      62
    1      17      84
    1      18      72
    1      19      63
    1      20     147
    1      21     181
    1      22      27
    1      23      36
    1      24     169
    1      25       8
    1      26      37
    1      27     110
    1      28     136
    1      29      16
    1      30     180
    1      31     150
    1      32      32
    1      33     158
    1      34     141
    1      35     146
    1      36     155
    1      37      73
    1      38     181
    1      39     148
    1      40     115
    1      41      74
    1      42     173
    1      43     197
    1      44     122
    1      45     162
    1      46      29
    1      47     194
    1      48     152
    1      49     170
    1      50     195
    1      51     180
    1      52      64
    1      53     170
    1      54      76
    1      55      29
    1      56     157
    1      57      31
    1      58     107
    1      59     114
    1      60       7
    1      61      49
    1      62     182
    1      63     123
    1      64     166
    1      65     182
    1      66      28
    1      67     192
    1      68     141
    1      69     170
    1      70     151
    1      71     167
    1      72     189
    1      73      59
    1      74      44
    1      75     188
    1      76     178
    1      77      74
    1      78     121
    1      79      28
    1      80     112
    2       3      92
    2       4     110
    2       5     159
    2       6      80
    2       7     184
    2       8      48
    2       9      88
    2      10      50
    2      11      77
    2      12      37
    2      13     149
    2      14      10
    2      15     158
    2      16     119
    2      17     137
    2      18      79
    2      19      10
    2      20     113
    2      21     190
    2      22      91
    2      23      39
    2      24      93
    2      25     135
    2      26      82
    2      27     197
    2      28     100
    2      29     106
    2      30     151
    2      31     136
    2      32      22
    2      33     146
    2      34      49
    2      35     105
    2      36      32
    2      37     175
    2      38      50
    2      39     111
    2      40     112
    2      41     152
    2      42     179
    2      43      78
    2      44     195
    2      45       8
    2      46     175
    2      47       8
    2      48      81
    2      49     110
    2      50     144
    2      51     179
    2      52      92
    2      53      85
    2      54      37
    2      55      56
    2      56     170
    2      57     102
    2      58      50
    2      59      50
    2      60     112
    2      61      43
    2      62     118
    2      63     158
    2      64     183
    2      65     183
    2      66     182
    2      67      39
    2      68     184
    2      69      88
    2      70       9
    2      71     193
    2      72     145
    2      73      85
    2      74      71
    2      75     194
    2      76       5
    2      77       5
    2      78      26
    2      79      30
    2      80      33
    3       4     102
    3       5     188
    3       6     196
    3       7     154
    3       8     154
    3       9      26
    3      10      98
    3      11      72
    3      12      92
    3      13      39
    3      14     176
    3      15      33
    3      16     159
    3      17      45
    3      18     141
    3      19     143
    3      20     174
    3      21     146
    3      22      80
    3      23       4
    3      24      54
    3      25     162
    3      26     197
    3      27      83
    3      28       6
    3      29      24
    3      30       8
    3      31     182
    3      32     133
    3      33      72
    3      34      47
    3      35     194
    3      36      37
    3      37     167
    3      38      74
    3      39     105
    3      40     171
    3      41     112
    3      42      20
    3      43      18
    3      44     161
    3      45     167
    3      46     165
    3      47     173
    3      48      98
    3      49     140
    3      50     138
    3      51     145
    3      52      13
    3      53     165
    3      54      84
    3      55      81
    3      56     164
    3      57      23
    3      58      50
    3      59     196
    3      60      83
    3      61     186
    3      62     110
    3      63     165
    3      64     175
    3      65      76
    3      66      26
    3      67      17
    3      68      43
    3      69      48
    3      70      43
    3      71     167
    3      72     122
    3      73      31
    3      74      73
    3      75     172
    3      76     200
    3      77     166
    3      78     140
    3      79      30
    3      80      36
    4       5      61
    4       6      28
    4       7      91
    4       8      92
    4       9      87
    4      10     172
    4      11     167
    4      12     133
    4      13      85
    4      14     147
    4      15      64
    4      16      95
    4      17     151
    4      18      42
    4      19     133
    4      20     101
    4      21      70
    4      22     156
    4      23      61
    4      24      63
    4      25      45
    4      26      55
    4      27      49
    4      28     117
    4      29     175
    4      30      48
    4      31      88
    4      32      93
    4      33     199
    4      34      44
    4      35      72
    4      36     113
    4      37      89
    4      38       3
    4      39      90
    4      40     193
    4      41     152
    4      42       5
    4      43      71
    4      44     164
    4      45     189
    4      46      70
    4      47     193
    4      48      81
    4      49     133
    4      50      41
    4      51     158
    4      52      89
    4      53     102
    4      54      19
    4      55     146
    4      56      83
    4      57     131
    4      58      10
    4      59     153
    4      60     195
    4      61     173
    4      62      34
    4      63     114
    4      64      84
    4      65      18
    4      66      54
    4      67     136
    4      68     185
    4      69     131
    4      70      67
    4      71     107
    4      72     179
    4      73     120
    4      74       3
    4      75     189
    4      76      90
    4      77     171
    4      78      19
    4      79     100
    4      80      15
    5       6     146
    5       7      26
    5       8       1
    5       9      72
    5      10     106
    5      11     136
    5      12      99
    5      13     122
    5      14     124
    5      15      74
    5      16      11
    5      17      80
    5      18     116
    5      19      69
    5      20      92
    5      21      77
    5      22     119
    5      23      91
    5      24      73
    5      25      33
    5      26     155
    5      27     191
    5      28       5
    5      29     168
    5      30      95
    5      31       8
    5      32      84
    5      33     145
    5      34      98
    5      35      25
    5      36      60
    5      37     134
    5      38     158
    5      39      74
    5      40     107
    5      41     120
    5      42      89
    5      43      46
    5      44     113
    5      45      30
    5      46      92
    5      47     119
    5      48     125
    5      49     160
    5      50      85
    5      51      93
    5      52      31
    5      53     177
    5      54      33
    5      55      40
    5      56     112
    5      57     133
    5      58     106
    5      59     115
    5      60     114
    5      61     110
    5      62     122
    5      63       2
    5      64     162
    5      65     185
    5      66      53
    5      67      36
    5      68      65
    5      69      84
    5      70      51
    5      71     138
    5      72      59
    5      73     106
    5      74      83
    5      75      39
    5      76      25
    5      77     147
    5      78     190
    5      79     132
    5      80     116
    6       7     145
    6       8      23
    6       9     101
    6      10     105
    6      11      90
    6      12     184
    6      13      82
    6      14     137
    6      15      97
    6      16      59
    6      17     137
    6      18      13
    6      19      79
    6      20      27
    6      21      79
    6      22     165
    6      23     131
    6      24      16
    6      25      78
    6      26       3
    6      27     189
    6      28     129
    6      29      96
    6      30      71
    6      31     166
    6      32     191
    6      33      18
    6      34     131
    6      35      18
    6      36     123
    6      37     142
    6      38      15
    6      39      12
    6      40     131
    6      41     195
    6      42     127
    6      43     146
    6      44      68
    6      45      37
    6      46      19
    6      47     142
    6      48      95
    6      49      45
    6      50      32
    6      51     137
    6      52      10
    6      53      17
    6      54     120
    6      55     198
    6      56     191
    6      57     151
    6      58      85
    6      59      77
    6      60     196
    6      61     111
    6      62     182
    6      63     110
    6      64     103
    6      65      16
    6      66      67
    6      67      50
    6      68     120
    6      69     111
    6      70      50
    6      71      87
    6      72      90
    6      73     147
    6      74       9
    6      75      74
    6      76      48
    6      77     102
    6      78      80
    6      79      95
    6      80     164
    7       8     179
    7       9      99
    7      10     121
    7      11     144
    7      12      19
    7      13      14
    7      14      98
    7      15      80
    7      16     112
    7      17      56
    7      18     140
    7      19     148
    7      20       3
    7      21      48
    7      22     181
    7      23     164
    7      24      11
    7      25      85
    7      26      51
    7      27     109
    7      28     102
    7      29      56
    7      30     140
    7      31      15
    7      32      73
    7      33     122
    7      34      41
    7      35       5
    7      36      89
    7      37     163
    7      38     159
    7      39      58
    7      40     121
    7      41      32
    7      42      74
    7      43     178
    7      44      17
    7      45     117
    7      46      60
    7      47     106
    7      48     180
    7      49     198
    7      50       5
    7      51      91
    7      52      53
    7      53      20
    7      54     112
    7      55     128
    7      56      34
    7      57      86
    7      58     162
    7      59     200
    7      60     198
    7      61     130
    7      62       5
    7      63     111
    7      64     165
    7      65     145
    7      66     198
    7      67      97
    7      68      46
    7      69      97
    7      70      40
    7      71     127
    7      72     168
    7      73      84
