  100    4950
    1       2      19
    1       3       2
    1       4      12
    1       5      22
    1       6       9
    1       7      16
    1       8      22
    1       9       4
    1      10      12
    1      11       3
    1      12      30
    1      13      13
    1      14       2
    1      15       8
    1      16       5
    1      17      27
    1      18       1
    1      19      23
    1      20      21
    1      21      24
    1      22      21
    1      23      18
    1      24       5
    1      25      22
    1      26      28
    1      27      23
    1      28      22
    1      29       5
    1      30      14
    1      31      12
    1      32      26
    1      33       6
    1      34       6
    1      35      26
    1      36       7
    1      37      24
    1      38      20
    1      39      13
    1      40      25
    1      41      25
    1      42      18
    1      43       7
    1      44      14
    1      45       7
    1      46      18
    1      47      27
    1      48       1
    1      49      14
    1      50       3
    1      51      17
    1      52      22
    1      53       7
    1      54      28
    1      55      27
    1      56      18
    1      57      30
    1      58      14
    1      59      18
    1      60      11
    1      61      12
    1      62      16
    1      63       6
    1      64      16
    1      65      20
    1      66      18
    1      67       2
    1      68      26
    1      69       6
    1      70       8
    1      71      13
    1      72       9
    1      73      13
    1      74      22
    1      75      22
    1      76       8
    1      77      21
    1      78       8
    1      79      11
    1      80      30
    1      81      17
    1      82      18
    1      83      28
    1      84      10
    1      85       6
    1      86       9
    1      87      27
    1      88       2
    1      89      12
    1      90      27
    1      91       3
    1      92      22
    1      93      26
    1      94      10
    1      95      27
    1      96       2
    1      97      11
    1      98      20
    1      99       1
    1     100       9
    2       3      23
    2       4      16
    2       5      12
    2       6      30
    2       7      26
    2       8       9
    2       9      12
    2      10      29
    2      11      26
    2      12      15
    2      13      16
    2      14       9
    2      15      30
    2      16       5
    2      17      29
    2      18      26
    2      19      12
    2      20      11
    2      21       7
    2      22       1
    2      23      17
    2      24      21
    2      25       3
    2      26      15
    2      27       2
    2      28       4
    2      29      12
    2      30      28
    2      31      24
    2      32       1
    2      33      13
    2      34      11
    2      35       5
    2      36       9
    2      37      24
    2      38      14
    2      39      24
    2      40       2
    2      41      12
    2      42      21
    2      43      19
    2      44      19
    2      45      20
    2      46      15
    2      47       8
    2      48       4
    2      49      12
    2      50      28
    2      51      29
    2      52      30
    2      53      15
    2      54      18
    2      55       4
    2      56      11
    2      57      17
    2      58      24
    2      59      19
    2      60      29
    2      61      21
    2      62       7
    2      63      24
    2      64      19
    2      65      11
    2      66      10
    2      67      20
    2      68       5
    2      69      26
    2      70      26
    2      71      15
    2      72      30
    2      73      23
    2      74      14
    2      75       5
    2      76       9
    2      77       3
    2      78      12
    2      79       1
    2      80       9
    2      81      13
    2      82      27
    2      83      14
    2      84      14
    2      85      13
    2      86       2
    2      87       2
    2      88       1
    2      89      15
    2      90      14
    2      91      21
    2      92      29
    2      93      18
    2      94      14
    2      95       4
    2      96      21
    2      97       9
    2      98      27
    2      99      27
    2     100      25
    3       4      10
    3       5       4
    3       6      26
    3       7      12
    3       8      30
    3       9      30
    3      10      25
    3      11      16
    3      12      21
    3      13      18
    3      14       4
    3      15       7
    3      16      11
    3      17      19
    3      18      14
    3      19       3
    3      20      15
    3      21      27
    3      22      22
    3      23      23
    3      24      20
    3      25      11
    3      26      16
    3      27      21
    3      28      26
    3      29      25
    3      30      16
    3      31      29
    3      32      12
    3      33      10
    3      34       5
    3      35      24
    3      36      24
    3      37      20
    3      38      24
    3      39       3
    3      40      25
    3      41      28
    3      42      18
    3      43      23
    3      44      19
    3      45      28
    3      46       2
    3      47       8
    3      48      20
    3      49       2
    3      50       5
    3      51      25
    3      52      27
    3      53      21
    3      54       1
    3      55      12
    3      56      20
    3      57      10
    3      58       6
    3      59      19
    3      60      28
    3      61       3
    3      62      19
    3      63       1
    3      64      16
    3      65      20
    3      66      19
    3      67      20
    3      68       4
    3      69      15
    3      70      30
    3      71      20
    3      72       2
    3      73       4
    3      74      15
    3      75       6
    3      76      27
    3      77       9
    3      78      22
    3      79      15
    3      80      19
    3      81       1
    3      82      28
    3      83      21
    3      84      19
    3      85       7
    3      86      29
    3      87      30
    3      88       9
    3      89       4
    3      90      19
    3      91      21
    3      92       4
    3      93      20
    3      94       4
    3      95      29
    3      96      17
    3      97      11
    3      98      23
    3      99      14
    3     100      19
    4       5      13
    4       6      10
    4       7      18
    4       8      24
    4       9       3
    4      10       5
    4      11      19
    4      12       4
    4      13      22
    4      14      22
    4      15       2
    4      16      26
    4      17      13
    4      18      17
    4      19      12
    4      20      21
    4      21      11
    4      22      16
    4      23       4
    4      24      28
    4      25      27
    4      26       8
    4      27      15
    4      28      21
    4      29      14
    4      30       5
    4      31      29
    4      32       3
    4      33      11
    4      34       7
    4      35      18
    4      36      20
    4      37       7
    4      38      24
    4      39       6
    4      40      10
    4      41      20
    4      42       2
    4      43      29
    4      44      25
    4      45      12
    4      46       9
    4      47      22
    4      48      21
    4      49      19
    4      50      20
    4      51       2
    4      52      13
    4      53      21
    4      54      19
    4      55       9
    4      56       7
    4      57      16
    4      58      13
    4      59      14
    4      60       7
    4      61      22
    4      62      11
    4      63      29
    4      64       9
    4      65       5
    4      66      12
    4      67      20
    4      68      18
    4      69      16
    4      70      13
    4      71       3
    4      72       6
    4      73       4
    4      74      14
    4      75       4
    4      76      17
    4      77      27
    4      78      22
    4      79      17
    4      80      16
    4      81      25
    4      82      23
    4      83      13
    4      84      24
    4      85      30
    4      86      30
    4      87      11
    4      88       3
    4      89       9
    4      90      17
    4      91      25
    4      92       9
    4      93       8
    4      94       7
    4      95      15
    4      96      25
    4      97      13
    4      98      17
    4      99       7
    4     100       4
    5       6       2
    5       7       4
    5       8      11
    5       9      17
    5      10      22
    5      11      10
    5      12      29
    5      13      12
    5      14       1
    5      15       1
    5      16      16
    5      17      20
    5      18      15
    5      19      30
    5      20      16
    5      21      17
    5      22      30
    5      23      20
    5      24      30
    5      25      27
    5      26       1
    5      27      24
    5      28       1
    5      29      26
    5      30      15
    5      31      25
    5      32      21
    5      33      11
    5      34      23
    5      35      13
    5      36      10
    5      37      16
    5      38      15
    5      39      17
    5      40      26
    5      41      21
    5      42       3
    5      43      26
    5      44       4
    5      45      30
    5      46      12
    5      47      28
    5      48      13
    5      49      28
    5      50       4
    5      51      21
    5      52       9
    5      53      30
    5      54      30
    5      55      11
    5      56       8
    5      57      25
    5      58       5
    5      59      29
    5      60      20
    5      61       9
    5      62      27
    5      63      10
    5      64      11
    5      65       3
    5      66       6
    5      67      26
    5      68       5
    5      69      21
    5      70      22
    5      71      20
    5      72       7
    5      73      20
    5      74       9
    5      75      13
    5      76      30
    5      77      15
    5      78       9
    5      79      14
    5      80      26
    5      81       5
    5      82      25
    5      83      21
    5      84      22
    5      85      12
    5      86       4
    5      87      16
    5      88       8
    5      89      13
    5      90      10
    5      91      15
    5      92      21
    5      93      13
    5      94      20
    5      95       3
    5      96       5
    5      97      27
    5      98      15
    5      99      19
    5     100      22
    6       7      26
    6       8       2
    6       9       4
    6      10       4
    6      11       7
    6      12      18
    6      13      26
    6      14       4
    6      15      13
    6      16       6
    6      17      10
    6      18      19
    6      19      22
    6      20       9
    6      21       9
    6      22      17
    6      23       6
    6      24      13
    6      25      28
    6      26      19
    6      27      21
    6      28      23
    6      29      23
    6      30      19
    6      31       1
    6      32      19
    6      33      25
    6      34      30
    6      35       4
    6      36       8
    6      37       8
    6      38      18
    6      39      30
    6      40      17
    6      41       9
    6      42      24
    6      43      10
    6      44      15
    6      45       4
    6      46       1
    6      47      29
    6      48      12
    6      49      13
    6      50      28
    6      51      16
    6      52      24
    6      53       2
    6      54       5
    6      55       5
    6      56      22
    6      57      20
    6      58       8
    6      59       4
    6      60       8
    6      61      18
    6      62      14
    6      63      17
    6      64      23
    6      65      19
    6      66      10
    6      67      12
    6      68      30
    6      69       5
    6      70      18
    6      71       8
    6      72      19
    6      73       1
    6      74      25
    6      75       8
    6      76      17
    6      77      20
    6      78       4
    6      79      29
    6      80      28
    6      81       5
    6      82       1
    6      83      26
    6      84      22
    6      85      12
    6      86      18
    6      87      17
    6      88      25
    6      89       5
    6      90       5
    6      91      28
    6      92      14
    6      93      22
    6      94      17
    6      95      30
    6      96      14
    6      97      13
    6      98       3
    6      99       9
    6     100      11
    7       8      19
    7       9       8
    7      10      20
    7      11      18
    7      12      19
    7      13      16
    7      14       3
    7      15       9
    7      16      21
    7      17      28
    7      18       9
    7      19      23
    7      20       8
    7      21      24
    7      22       5
    7      23      28
    7      24       9
    7      25      24
    7      26       6
    7      27      23
    7      28      27
    7      29      11
    7      30      29
    7      31      11
    7      32      14
    7      33      19
    7      34      17
    7      35      25
    7      36      27
    7      37      21
    7      38      14
    7      39       5
    7      40       5
    7      41       9
    7      42      12
    7      43      16
    7      44       2
    7      45      28
    7      46      19
    7      47      28
    7      48       4
    7      49      25
    7      50       9
    7      51       6
    7      52       1
    7      53       3
    7      54      10
    7      55       8
    7      56       3
    7      57       6
    7      58       6
    7      59       1
    7      60      14
    7      61      30
    7      62       9
    7      63      12
    7      64      15
    7      65       6
    7      66      23
    7      67      25
    7      68      11
    7      69       2
    7      70      16
    7      71      18
    7      72      17
    7      73      20
    7      74      13
    7      75       4
    7      76      26
    7      77      12
    7      78       1
    7      79       7
    7      80      21
    7      81      24
    7      82       2
    7      83      19
    7      84      29
    7      85      18
    7      86       6
    7      87      24
    7      88      15
    7      89      18
    7      90       1
    7      91      22
    7      92      18
    7      93       5
    7      94       4
    7      95       6
    7      96      24
    7      97      25
    7      98       1
    7      99      15
    7     100       4
    8       9       6
    8      10       2
    8      11       8
    8      12      29
    8      13       2
    8      14      13
    8      15       7
    8      16       1
    8      17      18
    8      18      10
    8      19      30
    8      20      24
    8      21       9
    8      22      28
    8      23       4
    8      24       7
    8      25       8
    8      26       4
    8      27      30
    8      28      30
    8      29      19
    8      30      13
    8      31      26
    8      32      26
    8      33      21
    8      34      14
    8      35       9
    8      36      26
    8      37      27
    8      38      18
    8      39       3
    8      40       3
    8      41      26
    8      42      24
    8      43      13
    8      44      26
    8      45       6
    8      46      15
    8      47      11
    8      48      10
    8      49      29
    8      50      27
    8      51      19
    8      52      30
    8      53      25
    8      54      30
    8      55       9
    8      56      20
    8      57       1
    8      58      30
    8      59      25
    8      60      20
    8      61       7
    8      62      22
    8      63      19
    8      64      14
    8      65      18
    8      66      20
    8      67      30
    8      68      26
    8      69      19
    8      70      18
    8      71       6
    8      72      11
    8      73       9
    8      74      10
    8      75      30
    8      76      28
    8      77      14
    8      78      10
    8      79      25
    8      80       7
    8      81      12
    8      82      29
    8      83      22
    8      84      12
    8      85       1
    8      86      30
    8      87       5
    8      88       7
    8      89      12
    8      90       2
    8      91       5
    8      92      11
    8      93       9
    8      94      18
    8      95      21
    8      96       8
    8      97      26
    8      98      28
    8      99      28
    8     100      19
    9      10      13
    9      11       4
    9      12      11
    9      13       6
    9      14      20
    9      15      19
    9      16      13
    9      17       6
    9      18       3
    9      19      29
    9      20      30
    9      21      27
    9      22      30
    9      23      29
    9      24      30
    9      25       6
    9      26      26
    9      27      11
    9      28      16
    9      29      29
    9      30      12
    9      31      18
    9      32       2
    9      33       8
    9      34       8
    9      35       8
    9      36      27
    9      37       9
    9      38      24
    9      39      24
    9      40      25
    9      41      12
    9      42      28
    9      43       4
    9      44      20
    9      45      18
    9      46      23
    9      47       4
    9      48       9
    9      49       6
    9      50      13
    9      51      20
    9      52      21
    9      53       5
    9      54       8
    9      55      18
    9      56      15
    9      57      10
    9      58       6
    9      59       3
    9      60       5
    9      61       1
    9      62       9
    9      63       8
    9      64      30
    9      65      26
    9      66      14
    9      67      16
    9      68       8
    9      69       1
    9      70       8
    9      71       9
    9      72      21
    9      73      19
    9      74      14
    9      75       7
    9      76      11
    9      77      17
    9      78      19
    9      79      28
    9      80       3
    9      81      15
    9      82      19
    9      83      15
    9      84      13
    9      85       1
    9      86       1
    9      87      12
    9      88      17
    9      89      22
